  
 Results from TRNSYS Input File: 
 C:\Users\gawa\Desktop\Course in DTU\47330 energy storage and conversion\Lectur
 es\Lecture 08\47330SDHCal\47330-MarstalSunstore4.trd                          
                                                                               
                                                                   
 Initiated at time: 2019-11-28 AT  14:37:20
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7840000000000000E+03	  -1.2666032067380870E+07	  -1.9971179852473754E+06	  +0.0000000000000000E+00	  -9.4143036011881813E+03	  +1.4659486039312504E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4107819812644724E+04	  -8.2712131335189879E+03	  -1.4898709527098843E+04	  +2.4784688840399745E+08	  +5.8382761333636260E+01	  +7.3252199988868654E+01	  +4.2468505014768930E+01	  +4.0500001907348633E+00	
  +8.7850000000000000E+03	  -1.2211256406378936E+07	  -1.9234251800685441E+06	  +0.0000000000000000E+00	  -9.4236734186375270E+03	  +1.4652290405423017E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4427573982044785E+04	  -8.3406152921594330E+03	  -1.4965553682170161E+04	  +2.4804139458452615E+08	  +5.8405035660077935E+01	  +7.3262680791021012E+01	  +4.2490867347583603E+01	  +3.7500002384185791E+00	
  +8.7860000000000000E+03	  -1.2157620714622686E+07	  -1.9577100304525662E+06	  +0.0000000000000000E+00	  -9.4366489530886211E+03	  +1.4475758767071167E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4762645185735193E+04	  -8.4118702075312103E+03	  -1.5034131863065712E+04	  +2.4841578873315215E+08	  +5.8447910274456149E+01	  +7.3281215636323623E+01	  +4.2521835210235373E+01	  +3.4500000476837158E+00	
  +8.7870000000000000E+03	  -1.2144183693943856E+07	  -1.9724048355075053E+06	  +0.0000000000000000E+00	  -9.4431765511779176E+03	  +1.4429988368634254E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.5086132195779799E+04	  -8.4798119644933231E+03	  -1.5101088169767263E+04	  +2.4868821631550857E+08	  +5.8479107950975362E+01	  +7.3292217365440109E+01	  +4.2537414203288591E+01	  +3.1500000953674316E+00	
  +8.7880000000000000E+03	  -1.2121332251735980E+07	  -1.9831209394092367E+06	  +0.0000000000000000E+00	  -9.4481046073282323E+03	  +1.4395361342312505E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.5406105976498293E+04	  -8.5469318890962677E+03	  -1.5167636225479984E+04	  +2.4892562848001516E+08	  +5.8506295755697401E+01	  +7.3301322593482126E+01	  +4.2549175673814403E+01	  +2.8499999046325684E+00	
  +8.7890000000000000E+03	  -1.2123003936405582E+07	  -1.9972462550888923E+06	  +0.0000000000000000E+00	  -9.4516529110861593E+03	  +1.4365149131769083E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.5722780281890067E+04	  -8.6133427605844263E+03	  -1.5233851699400857E+04	  +2.4912841954755870E+08	  +5.8529518845193280E+01	  +7.3308883507413682E+01	  +4.2557644179203244E+01	  +2.5500001907348633E+00	
  +8.7900000000000000E+03	  -1.2116114459981212E+07	  -2.0067715429758870E+06	  +0.0000000000000000E+00	  -9.4541230110607830E+03	  +1.4349092288269019E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6036506367330556E+04	  -8.6791996759823051E+03	  -1.5299798284297241E+04	  +2.4929861470701250E+08	  +5.8549009138664481E+01	  +7.3315195235025342E+01	  +4.2563539405873001E+01	  +2.2500002384185791E+00	
  +8.7910000000000000E+03	  -1.2108244256054046E+07	  -2.0157798662469732E+06	  +0.0000000000000000E+00	  -9.4561743776421172E+03	  +1.4333818431211270E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6348764550261629E+04	  -8.7448414616073806E+03	  -1.5365657092423935E+04	  +2.4945094295291784E+08	  +5.8566453361086410E+01	  +7.3321099133918196E+01	  +4.2568435268835600E+01	  +1.9500001668930054E+00	
  +8.7920000000000000E+03	  -1.2102273297069406E+07	  -2.0243510048832169E+06	  +0.0000000000000000E+00	  -9.4578205560595488E+03	  +1.4321270332433406E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6659677385375937E+04	  -8.8102750516642609E+03	  -1.5431428095475103E+04	  +2.4958717886596164E+08	  +5.8582054732682771E+01	  +7.3326595191825305E+01	  +4.2572364095607526E+01	  +1.6500000953674316E+00	
  +8.7930000000000000E+03	  -1.2095636878043693E+07	  -2.0319957371395670E+06	  +0.0000000000000000E+00	  -9.4591652335449216E+03	  +1.4311414027577078E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6969498208399105E+04	  -8.8755538001779732E+03	  -1.5497129610154383E+04	  +2.4971010525878459E+08	  +5.8596131933698146E+01	  +7.3331768129372236E+01	  +4.2575573349749220E+01	  +1.3499996662139893E+00	
