  
 Results from TRNSYS Input File: 
 C:\Users\s192476\Downloads\47330SDHCal\47330SDHCal\47330-MarstalSunstore4.trd 
                                                                               
                                                                               
                                                                   
 Initiated at time: 2019-11-21 AT  15:54:54
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7910000000000000E+03	  -1.6074936709674928E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3700052341787432E+03	  +1.6174799703588290E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.2981775225658181E+04	  -8.1867412451484215E+03	  -1.1626823973268314E+04	  +1.1035650042766708E+08	  +4.2637730630485834E+01	  +5.5954797975211775E+01	  +3.9976146143624689E+01	  +1.9500001668930054E+00	
  +8.7920000000000000E+03	  -1.6086512854955597E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3695425495719028E+03	  +1.6174800064706862E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.3286621560822787E+04	  -8.2510912499116021E+03	  -1.1693789568694374E+04	  +1.1039800077373073E+08	  +4.2642483138879918E+01	  +5.5965842729806639E+01	  +3.9975041884419824E+01	  +1.6500000953674316E+00	
  +8.7930000000000000E+03	  -1.6094049428338178E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3663439891665530E+03	  +1.6174800754539613E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.3588627449561522E+04	  -8.3140355719085073E+03	  -1.1759894628907979E+04	  +1.1043069187861088E+08	  +4.2646226836585875E+01	  +5.5972890073901539E+01	  +3.9967408088702996E+01	  +1.3499996662139893E+00	
  +8.7940000000000000E+03	  -1.6100418151767416E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3699596911298577E+03	  +1.6174799356868494E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.3076341274676088E+04	  -8.2045563056967421E+03	  -1.1649827547299883E+04	  +1.1045721590270218E+08	  +4.2649264296730074E+01	  +5.5978789122659279E+01	  +3.9976037448997275E+01	  +1.8671432733535767E+00	
  +8.7950000000000000E+03	  -1.6106191527881384E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3697074568192129E+03	  +1.6174800097771145E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0809840485826338E+04	  -7.7159628984369901E+03	  -1.1162508790505968E+04	  +1.1047749768276440E+08	  +4.2651586911819713E+01	  +5.5984107685593571E+01	  +3.9975435457802419E+01	  +4.1359820365905762E+00	
  +8.7960000000000000E+03	  -1.6108608147842878E+07	  +0.0000000000000000E+00	  +7.5721406603348651E+05	  -8.3686116679350762E+03	  +1.6172872830233524E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9366380341175856E+04	  -7.3987661468090810E+03	  -1.0847748749978382E+04	  +1.1087536053292668E+08	  +4.2697149098992583E+01	  +5.5992810583577885E+01	  +3.9972820209868914E+01	  +5.6066966056823730E+00	
  +8.7970000000000000E+03	  -1.6141173917463917E+07	  +0.0000000000000000E+00	  +7.1332345181311143E+05	  -8.3734643200068276E+03	  +1.6174871988000568E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9031897809331604E+04	  -7.3165458184086383E+03	  -1.0771294793400164E+04	  +1.1161524765008587E+08	  +4.2781878988463419E+01	  +5.6031175996723498E+01	  +3.9984401718393386E+01	  +6.0001788139343262E+00	
  +8.7980000000000000E+03	  -1.6213084997340225E+07	  +0.0000000000000000E+00	  +1.3449168175240369E+06	  +6.4208516348845838E+05	  +1.6171103291119104E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8659419826184836E+04	  -7.2170607213787280E+03	  -1.0684986868543449E+04	  +1.1292044543232749E+08	  +4.2931346740046287E+01	  +5.6107610668872276E+01	  +3.9999630465301109E+01	  +6.4775004386901855E+00	
  +8.7990000000000000E+03	  -1.6313346809640180E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3822132325393795E+03	  +1.6183600828612508E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8731985681092527E+04	  -7.2166628648005808E+03	  -1.0705815927344025E+04	  +1.1378544945305520E+08	  +4.3030404681951659E+01	  +5.6211858117997153E+01	  +4.0005282177898280E+01	  +6.4850001335144043E+00	
  +8.8000000000000000E+03	  -1.6408053395695947E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3802130526464389E+03	  +1.6174800083191022E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9806298232435925E+04	  -7.4459980570723355E+03	  -1.0956627460624339E+04	  +1.1355375237832405E+08	  +4.3003871353992032E+01	  +5.6306838698941959E+01	  +4.0000508478869790E+01	  +5.4149999618530273E+00	
  +8.8010000000000000E+03	  -1.6455791460588166E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3791249319051622E+03	  +1.6174800638901893E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0310412506642875E+04	  -7.5563145250800244E+03	  -1.1077303708052510E+04	  +1.1324509089957355E+08	  +4.2968524268778751E+01	  +5.6352361324033495E+01	  +3.9997911531993232E+01	  +4.9000000953674316E+00	
  +8.8020000000000000E+03	  -1.6460812597914118E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3782276951011045E+03	  +1.6174799847932629E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0488876442183901E+04	  -7.5989120498453394E+03	  -1.1121089172810965E+04	  +1.1291074111309870E+08	  +4.2930235427419568E+01	  +5.6355737744816949E+01	  +3.9995770155372568E+01	  +4.6999998092651367E+00	
