HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
12-11-18 01.00;12-11-18 02.00;DK1;1656.42;1074.36;476.77;-287.00;-242.00;121.00
12-11-18 02.00;12-11-18 03.00;DK1;1676.33;956.42;450.18;-599.00;-225.00;579.00
12-11-18 03.00;12-11-18 04.00;DK1;1743.59;938.55;396.57;-243.00;-553.00;657.00
12-11-18 04.00;12-11-18 05.00;DK1;1914.09;824.31;351.90;-825.00;-367.00;1218.00
12-11-18 05.00;12-11-18 06.00;DK1;2347.49;759.28;253.04;-1250.00;-150.00;1792.00
12-11-18 06.00;12-11-18 07.00;DK1;2724.82;670.37;223.26;-1155.00;-309.00;1934.00
12-11-18 07.00;12-11-18 08.00;DK1;2809.80;611.77;259.51;-1111.00;-352.00;1942.00
12-11-18 08.00;12-11-18 09.00;DK1;2807.31;549.26;245.08;-1122.00;-111.00;1942.00
12-11-18 09.00;12-11-18 10.00;DK1;2855.80;522.93;217.77;-1223.00;-18.00;1942.00
12-11-18 10.00;12-11-18 11.00;DK1;2853.46;474.83;177.31;-1223.00;-187.00;1942.00
12-11-18 11.00;12-11-18 12.00;DK1;2773.69;376.06;188.40;-1254.00;-154.00;1942.00
12-11-18 12.00;12-11-18 13.00;DK1;2786.43;262.20;130.29;-1257.00;47.00;1942.00
12-11-18 13.00;12-11-18 14.00;DK1;2792.12;221.14;92.06;-1223.00;223.00;1942.00
12-11-18 14.00;12-11-18 15.00;DK1;2728.03;206.56;69.18;-1010.00;-51.00;1942.00
12-11-18 15.00;12-11-18 16.00;DK1;2846.71;200.27;114.31;-744.00;-171.00;1942.00
12-11-18 16.00;12-11-18 17.00;DK1;3050.89;195.61;120.53;-694.00;-98.00;1943.00
12-11-18 17.00;12-11-18 18.00;DK1;2893.77;220.28;65.91;-672.00;-310.00;1943.00
12-11-18 18.00;12-11-18 19.00;DK1;2700.30;178.01;3.20;-691.00;-339.00;1942.00
12-11-18 19.00;12-11-18 20.00;DK1;2509.96;171.13;13.96;-733.00;-293.00;1942.00
12-11-18 20.00;12-11-18 21.00;DK1;2337.12;257.10;34.54;-833.00;-132.00;1941.00
12-11-18 21.00;12-11-18 22.00;DK1;2193.67;398.05;77.05;-922.00;-13.00;1945.00
